"Content type";"Record Number";Acronym;Title;ID;Teaser;Programme;"Start date";"End date";Language;"Available languages";"Last updated";URL
project;99283;HOPSA-EU;"HOlistic Performance System Analysis-EU";277463;"To maximise the scientific output of a high-performance computing system, different stakeholders pursue different strategies. While individual application developers are trying to shorten the time to solution by optimising their codes, system administrators are tuning the con...";FP7-ICT;2011-02-01;2013-01-31;en;en;"2016-04-05 12:07:16";http://cordis.europa.eu/project/rcn/99283_en.html
project;95742;HOLA!;"Initiative to enHance cOLlaboration and promote Advancement of future ICT services in Europe";257868;"Within nowadays global markets and complexity of ICT, collaboration has gained a critical importance towards creating competitive advantages in the R&amp;D and industrial arenas. Within this context, important efforts have been carried out within FP to support collaboration a...";FP7-ICT;2010-09-01;2012-10-31;en;en;"2016-04-05 12:49:46";http://cordis.europa.eu/project/rcn/95742_en.html
project;93853;PLANETHPC;"Partnership, Leadership and Assessment Network for HPC";248749;"PLANETHPC is Framework 7 Support Action designed to bring together the HPC community in Europe and beyond to exchange knowledge, to identify shared and complementary goals and to identify the research challenges ahead. This will culminate in the production of a research roadm...";FP7-ICT;2009-11-01;2012-04-30;en;en;"2016-04-05 12:51:04";http://cordis.europa.eu/project/rcn/93853_en.html
project;93776;universAAL;"UNIVERsal open platform and reference Specification for Ambient Assisted Living";247950;"As the European population ages, more support is needed with fewer hands to cater for their needs. There is a huge market potential for Ambient Assisted Living (AAL) solutions, but adoption is limited because they require significant resources for implementation.To address th...";FP7-ICT;2010-02-01;2014-01-31;en;en;"2016-04-05 12:59:13";http://cordis.europa.eu/project/rcn/93776_en.html
project;91507;MODAP;"Mobility, Data Mining, and Privacy";245410;"With the advance and wide usage of GPS enabled devices and other positioning systems, mobility behaviour of individuals can now be captured and streamed into a data warehouse for online or historical data analysis. We refer to such data as mobility data. Mobility data mining ...";FP7-ICT;2009-09-01;2013-02-28;en;en;"2016-04-05 12:21:38";http://cordis.europa.eu/project/rcn/91507_en.html
project;86628;MEMS-4-MMIC;"Enabling MEMS-MMIC technology for cost-effective multifunctional RF-system integration";224101;"The MEMS-4-MMIC proposal aims at the integration of RF-MEMS switches onto Monolithic Microwave Integrated Circuits (MMIC) creating highly integrated multifunctional building blocks for high-value applications. RF-MEMS will be an essential building block of next-generation sma...";FP7-ICT;2008-05-01;2012-11-30;en;en;"2016-04-05 12:47:37";http://cordis.europa.eu/project/rcn/86628_en.html
project;191688;SmartAgriFood2;"SmartAgriFood2 is a a phase 3 FI-PPP project supporting SMEs in the development of smart services and applications for the agri-food sector based on the validation and use of results from the SmartAgriFood (Phase 1) and FI-Space (Phase 2) FI PPP projects";632861;"Food security, environmental sustainability and food safety are pressing global challenges. Smart Farming, which intelligently combines sensor-based data services and ICT applications, can contribute significantly to meeting these challenges. However, developments in smart fa...";FP7-ICT;2014-06-01;2016-05-31;en;en;"2016-04-05 12:41:46";http://cordis.europa.eu/project/rcn/191688_en.html
project;191638;QualiMaster;"A configurable real-time data processing infrastructure mastering autonomous quality adaptation";619525;"The growing number of fine-granular data streams opens up new opportunities for improved risk analysis, situation and evolution monitoring as well as event detection. However, there are still some major roadblocks for leveraging the full potential of data stream processing, a...";FP7-ICT;2014-01-01;2016-12-31;en;en;"2016-04-05 12:16:54";http://cordis.europa.eu/project/rcn/191638_en.html
project;189129;Waternomics;"ICT for Water Resource Management";619660;"Climate change, increased urbanization and increased world population are several of the factors driving global challenges for water management. In fact, the World Economic Forum has cited ""The Water Supply Crises"" as a major risk to global economic growth and environmental p...";FP7-ICT;2014-02-01;2017-01-31;en;en;"2016-04-05 12:54:51";http://cordis.europa.eu/project/rcn/189129_en.html
project;189034;"CONECTA 2020";"COoperation and NEtworking between Europe and Latin America and the Caribbean to Coordinate Research Opportunities around ICT and Horizon 2020 challenges via Technology PlAtforms";611517;"The CONECTA 2020 project embraces the collaboration between Europe and Latin American/Caribbean Countries around Information and Communication Technologies (ICT) and Horizon 2020. CONECTA 2020 proposes to create new mechanisms of collaboration and networking between Latin Ame...";FP7-ICT;2014-03-01;2016-02-29;en;en;"2016-04-05 12:51:43";http://cordis.europa.eu/project/rcn/189034_en.html
project;110384;KoroiBot;"Improving humanoid walking capabilities by human-inspired mathematical models, optimization and learning";611909;"The goal of the KoroiBot project is to enhance the ability of humanoid robots to walk in a dynamic and versatile fashion in the way humans do. Research and innovation work in KoroiBot will mainly target novel motion control methods for existing hardware, but it will also deri...";FP7-ICT;2013-10-01;2016-09-30;en;en;"2016-04-05 13:03:22";http://cordis.europa.eu/project/rcn/110384_en.html
project;110312;PublicaMundi;"Scalable and Reusable Open Geospatial Data";609608;"Open data provided by the public sector constitute a significant opportunity for growth. The Vickery report estimates the benefits of open data reuse for the EU27 economy at 140bn/year. These financial benefits will be materialized through the establishment of a data economy,...";FP7-ICT;2013-11-01;2015-10-31;en;en;"2016-04-05 12:56:31";http://cordis.europa.eu/project/rcn/110312_en.html
project;110132;CLOUDCATALYST;"Reenergize productivity, efficiency and competitiveness of European economy through Cloud Computing";612053;"CloudCatalyst aims to provide useful tools to foster the adoption of Cloud Computing in Europe. CloudCatalyst will set up a cross-border advice and support service targeting two main groups:1) Software developers, researchers, start-ups, and other Cloud entrepreneurs interest...";FP7-ICT;2013-10-01;2015-10-31;en;en;"2016-04-05 12:43:13";http://cordis.europa.eu/project/rcn/110132_en.html
project;106859;PaCMan;"Probabilistic and Compositional Representations of Objects for Robotic Manipulation";600918;"The challenge laid out in this call for proposals is to advance technologies for, and understand the principles of cognition and control in complex systems. We will meet this challenge by advancing methods for object perception, representation and manipulation so that a robot...";FP7-ICT;2013-03-01;2016-02-29;en;en;"2016-04-05 12:50:26";http://cordis.europa.eu/project/rcn/106859_en.html
project;106849;SIFEM;"Semantic Infostructure interlinking an open source Finite Element tool and libraries with a model repository for the multi-scale Modelling and 3d visualization of the inner-ear";600933;"The clinical evidence indicates that the number of people with all levels of hearing impairment and hearing loss is rising mainly due to a growing global population and longer life expectancies. Hearing loss caused by pathology in the cochlea or the cochlear nerve is classifi...";FP7-ICT;2013-02-01;2016-01-31;en;en;"2016-04-05 12:29:36";http://cordis.europa.eu/project/rcn/106849_en.html
project;101348;SMART;"Search engine for MultimediA enviRonment generated contenT";287583;"The Future Internet will include a large number of internet-connected sensors (including cameras and microphone arrays), which provide opportunities for searching and analyzing large amounts of multimedia data from the physical world, while also integrating them into added-va...";FP7-ICT;2011-11-01;2014-10-31;en;en;"2016-04-05 12:49:14";http://cordis.europa.eu/project/rcn/101348_en.html
project;100733;ADVENTURE;"ADaptive Virtual ENterprise ManufacTURing Environment";285220;"Virtual factories are a well-established concept although existing solutions have limits: Scoped at the business level Provide an isolated view on certain virtual factory aspects Restricted to simple tasks Simple extensions to classic ERP and SCM systems Limited integrat...";FP7-ICT;2011-09-01;2014-08-31;en;en;"2016-04-05 12:08:02";http://cordis.europa.eu/project/rcn/100733_en.html
project;86721;VISIT;"VISIT - Vertically Integrated Systems for Information Transfer";224211;"The proposed STREP focuses on strategic, high-value photonic components and subsystems for scalable economic broadband access and local area networks. The central objective is research on, development, test and exploitation of system-enabling optical transmitters having a com...";FP7-ICT;2008-06-01;2011-10-31;en;en;"2016-04-05 11:29:32";http://cordis.europa.eu/project/rcn/86721_en.html
project;85432;PREDATOR;"Design for Predictability and Efficiency";216008;"The project proposal is concerned with embedded systems that are characterized by efficiency requirements such as average-case performance, resource utilization, and power consumption on the one hand and worst-case constraints on the other. This combination of requirements ty...";FP7-ICT;2008-02-01;2011-01-31;en;en;"2016-04-05 11:44:20";http://cordis.europa.eu/project/rcn/85432_en.html
project;189126;GoPhoton!;"GoPhoton! - Photonics for everyone";619635;"The mission of this project is to make a significant contribution to raising awareness about the importance of Photonics, aiming at having impact on young minds, entrepreneurs and society as a whole. GoPhoton! aims to transmit a critical message across Europe: Photonics is ub...";FP7-ICT;2014-01-01;2016-02-29;en;en;"2016-04-05 11:08:33";http://cordis.europa.eu/project/rcn/189126_en.html
project;189015;PredictND;"From Patient Data to Clinical Diagnosis in Neurodegenerative Diseases";611005;"Dementia is a growing health problem with enormous costs to society: the costs currently equal 1% of the global gross-domestic product and a three-fold increase to 115 million dementia cases is expected by 2050. Addressing this grave human and economic challenge requires effi...";FP7-ICT;2014-02-01;2018-01-31;en;en;"2016-04-05 11:37:13";http://cordis.europa.eu/project/rcn/189015_en.html
project;110561;CARDIOPROOF;"Proof of Concept of Model-based Cardiovascular Prediction";611232;"CARDIOPROOF is a proof-of-concept project that consolidates the outcomes of previous VPH projects and checks the applicability and effectiveness of available predictive modelling and simulation tools, validating them in interrelated clinical trials conducted in three European...";FP7-ICT;2013-10-01;2016-09-30;en;en;"2016-04-05 11:14:09";http://cordis.europa.eu/project/rcn/110561_en.html
project;110131;HEADS;"Heterogeneous and Distributed Services for the Future Computing Continuum";611337;"Most things we rely on in our everyday life will contain sensors and electronic-based information and have enough computing power to run embedded software applications which connect to the Internet and clouds to get access to virtually unlimited resources. This future computi...";FP7-ICT;2013-10-01;2017-03-31;en;en;"2016-04-05 11:30:36";http://cordis.europa.eu/project/rcn/110131_en.html
project;108158;SPENCER;"Social situation-aware perception and action for cognitive robots";600877;"SPENCER will break new ground for cognitive systems in populated environments. While there is an increasing focus on making robots more socially aware, related approaches are still limited in their capacity to perceive, model and learn human social behavior and respond with a...";FP7-ICT;2013-04-01;2016-03-31;en;en;"2016-04-05 11:40:57";http://cordis.europa.eu/project/rcn/108158_en.html
project;106850;MAXICULTURE;"MAXimising the Impact of CULTUral REsearch projects";601070;"The MAXICULTURE Support Action aims to maximise the impact of EC funded ICT projects in the cultural domain through the adaptation, testing and transfer of a socio-economic assessment methodology. The MAXICULTURE idea emerges from the consideration that there is a growing nee...";FP7-ICT;2013-01-01;2014-12-31;en;en;"2016-04-05 11:49:43";http://cordis.europa.eu/project/rcn/106850_en.html
project;106031;CLOMMUNITY;"A Community networking Cloud in a box";317879;"Community networking (also known as bottom-up networking) is an emerging model for the Future Internet across Europe and beyond where communities of citizens can build, operate and own open IP-based networks, a key infrastructure for individual and collective digital particip...";FP7-ICT;2013-01-01;2015-06-30;en;en;"2016-04-05 11:12:43";http://cordis.europa.eu/project/rcn/106031_en.html
project;105548;SIMPLI-CITY;"SIMPLI-CITY - The Road User Information System of the Future";318201;"Nowadays, mobile Internet is available almost everywhere. Nevertheless, the impact of this ""ubiquitous Web access"" has not arrived at road user information systems with a few exceptions for navigation systems or traffic monitoring. Making full use of the Internet availability...";FP7-ICT;2012-10-01;2015-09-30;en;en;"2016-04-05 11:26:41";http://cordis.europa.eu/project/rcn/105548_en.html
project;101352;All4Green;"Active collaboration in data centre ecosystem to reduce energy consumption and GHG emissions";288674;"Instead of focusing on the energy optimization of single ICT elements, or subsets of the ICT elements making up a data centre, All4Green broadens the scope of energy savings to the full ecosystem in which data centres operate. The novel approach proposed by All4Green specific...";FP7-ICT;2011-11-01;2014-04-30;en;en;"2016-04-05 11:06:23";http://cordis.europa.eu/project/rcn/101352_en.html
project;101216;SUPERHUB;"SUstainable and PERsuasive Human Users moBility in future cities";289067;"The SUPERHUB project aims at realizing a new services mobility framework supporting an integrated and eco-efficient use of multi-modal mobility systems in an urban setting.SUPERHUB provides a user-centric, integrated approach to multi-modal smart urban mobility systems, throu...";FP7-ICT;2011-10-01;2014-11-30;en;en;"2016-04-05 11:24:37";http://cordis.europa.eu/project/rcn/101216_en.html
project;101215;ASC-Inclusion;"Integrated Internet-Based Environment for Social Inclusion of Children with Autism Spectrum Conditions (ASC)";289021;"Autism Spectrum Conditions (ASC, frequently defined as ASD - Autism Spectrum Disorders) are neurodevelopmental conditions, characterized by social communication difficulties and restricted and repetitive behaviour patterns. Current studies suggest 1% of the population might f...";FP7-ICT;2011-11-01;2014-12-31;en;en;"2016-04-05 11:47:38";http://cordis.europa.eu/project/rcn/101215_en.html
project;100975;3DTVS;"3DTV Content Search";287674;"As 3DTV emerges, 3DTV content started already being accumulated in 3DTV broadcasters and 3D video production houses. Its volume will soon rise tremendously. Such content already started being posted in the web, as already done for 2D audiovisual material. Furthermore, with th...";FP7-ICT;2011-11-01;2015-01-31;en;en;"2016-04-05 11:49:11";http://cordis.europa.eu/project/rcn/100975_en.html
project;100744;MateCat;"Machine Translation Enhanced Computer Assisted Translation";287688;"Worldwide demand of translation services has dramatically accelerated in the last decade, as an effect of the market globalization and the growth of the Information Society. Computer Assisted Translation (CAT) tools are currently the dominant technology in the translation and...";FP7-ICT;2011-11-01;2014-10-31;en;en;"2016-04-05 11:20:08";http://cordis.europa.eu/project/rcn/100744_en.html
project;100734;SEAM4US;"Sustainable Energy mAnageMent for Underground Stations";285408;"Underground transportation systems are big energy consumers (e.g. 63,1 millions of kWh / year), and have significant impacts on energy consumption at a regional scale. One third of the networks' energy is required for operating the subsystems of metro stations and surrounding...";FP7-ICT;2011-10-03;2014-09-30;en;en;"2016-04-05 11:46:01";http://cordis.europa.eu/project/rcn/100734_en.html
project;99306;SMARTV2G;"Smart Vehicle to Grid Interface";284953;"In a context of an obliged continuous optimisation of the energy consumption rates in developed societies, embedded systems and solutions can perform a significant role in the transition process towards a Sustainable Urban Life concept in European countries. One of the main a...";FP7-ICT;2011-06-01;2014-05-31;en;en;"2016-04-05 10:47:20";http://cordis.europa.eu/project/rcn/99306_en.html
project;99186;ITFoM;"IT Future of Medicine";285609;"Data-rich, individualised medicine poses unprecedented challenges for IT, in hardware, storage and communication. We propose a data-driven, individualised medicine of the future, based on molecular/physiological/anatomical data from individual patients. We shall make general ...";FP7-ICT;2011-05-01;2012-04-30;en;en;"2016-04-05 10:54:36";http://cordis.europa.eu/project/rcn/99186_en.html
project;95592;QCS;"Quantum Computer Science";255961;"Quantum Information Science (QIS) is a young, highly interdisciplinary field touching on the foundations of both computer science and quantum physics It provides a new model of computation that is both physically feasible and more powerful than conventional computing. If a qu...";FP7-ICT;2010-09-01;2013-08-31;en;en;"2016-04-05 10:56:34";http://cordis.europa.eu/project/rcn/95592_en.html
project;93255;AQUTE;"Atomic QUantum TEchnologies";247687;"The overall objectives of the AQUTE project areA) To develop quantum technologies based on atomic, molecular and optical (AMO) systems for* scalable quantum computation;* entanglement-enabled technologies like metrology and sensing.B) To establish and exploit new interdiscipl...";FP7-ICT;2010-02-01;2013-04-30;en;en;"2016-04-05 10:57:18";http://cordis.europa.eu/project/rcn/93255_en.html
project;86615;VITAL++;"Embedding P2P technology in Next Generation Networks: A New Communication Paradigm & Experimentation Infrastructure";224287;"Emerging types of applications, rich in user-created or provider-created content, enabled by P2P technology, with high demands for network resources are rapidly changing the landscape of network requirements and operations creating new challenges in network and service manage...";FP7-ICT;2008-06-01;2011-02-28;en;en;"2016-04-05 10:51:06";http://cordis.europa.eu/project/rcn/86615_en.html
project;85339;CuteLoop;"Customer in the Loop: Using Networked Devices enabled Intelligence for Proactive Customers Integration as Drivers of Integrated Enterprise";216420;"The strategic objective of CuteLoop is to explore how Intelligent Networked Devices such as enhanced RFID-based systems, can be used to effectively 'integrate customers within an Integrated Enterprise' and with this provide an important step towards 'real' Integrated, Real Ti...";FP7-ICT;2008-02-01;2011-04-30;en;en;"2016-04-05 10:51:44";http://cordis.europa.eu/project/rcn/85339_en.html
project;110722;TERESA;"Telepresence Reinforcement-learning Social Agent";611153;"TERESA aims to develop a telepresence robot of unprecedented social intelligence, thereby helping to pave the way for the deployment of robots in settings such as homes, schools, and hospitals that require substantial human interaction. In telepresence systems, a human contro...";FP7-ICT;2013-12-01;2016-11-30;en;en;"2016-04-05 10:34:49";http://cordis.europa.eu/project/rcn/110722_en.html
project;110379;RESCUER;"Reliable and Smart Crowdsourcing Solution for Emergency and Crisis Management - EU";614154;"Disasters occurring during large-scale events and in industrial areas may have a huge impact on human lives, property, and the environment. Fast reaction is vital in order to avoid physical damages as well as damages to the public image of the involved organisations. As a res...";FP7-ICT;2013-10-01;2016-03-31;en;en;"2016-04-05 10:19:45";http://cordis.europa.eu/project/rcn/110379_en.html
project;109810;EUBrazilCC;"EU-Brazil Cloud infrastructure Connecting federated resources for Scientific Advancement";614048;"The EUBrazilCC project is a first step towards providing a user-centric, cross-Atlantic test bench for European & Brazilian research communities. EUBrazilCC is centred in practical scientific use cases, and it is built on a close collaboration among European & Brazilian excel...";FP7-ICT;2013-10-01;2016-01-31;en;en;"2016-04-05 10:59:02";http://cordis.europa.eu/project/rcn/109810_en.html
project;108665;HANDiCAMS;"Heterogeneous Ad-hoc Networks for Distributed, Cooperative, and Adaptive Multimedia Signal Processing";323944;"The project is aimed at developing a new ICT paradigm, which considers multiple heterogeneous devices that cooperate in multiple signal processing tasks. This is radically different from current ICT paradigms, in which stand-alone devices merely focus on individual tasks or m...";FP7-ICT;2013-10-01;2016-09-30;en;en;"2016-04-05 10:20:29";http://cordis.europa.eu/project/rcn/108665_en.html
project;105769;EVARILOS;"Evaluation of RF-based Indoor Localization Solutions for the Future Internet";317989;"The EVARILOS project addresses one of the major problems of indoor localization research: The pitfall to reproduce research results in real life scenarios suffering from uncontrolled RF interference and the weakness of numerous published solutions being evaluated under indivi...";FP7-ICT;2012-11-01;2015-04-30;en;en;"2016-04-05 10:16:26";http://cordis.europa.eu/project/rcn/105769_en.html
project;102049;LITERACY;"ONLINE PORTAL FOR E-LEARNING AND SUPPORTING SOCIAL INCLUSION OF PEOPLE WITH DYSLEXIA";288596;"The objective of the LITERACY project is to create an advanced online portal, which will aid both dyslexic youths and adults. The Portal will provide personalized e-learning programs, useful tools and methods for helping people with dyslexia to improve their abilities in read...";FP7-ICT;2012-03-01;2015-02-28;en;en;"2016-04-05 11:03:12";http://cordis.europa.eu/project/rcn/102049_en.html
project;101982;HOBBIT;"HOBBIT - The Mutual Care Robot";288146;"Ageing has been prioritised as a key demographic element affecting the population development within the EU member states. Experts and users agree that Ambient Assisted Living (AAL) and Social and Service Robots (SSR) have the potential to become key components in coping with...";FP7-ICT;2011-11-01;2015-08-31;en;en;"2016-04-05 10:22:51";http://cordis.europa.eu/project/rcn/101982_en.html
project;100230;Vconect;"Video Communications for Networked Communities";287760;"The inability to discover the conversations that matter, to understand how others are feeling, to recognise a friend in need, to share the joy of someone happy, or to see how certain things should be done, are common limitations of social networks. All these require people to...";FP7-ICT;2011-12-01;2014-11-30;en;en;"2016-04-05 10:08:50";http://cordis.europa.eu/project/rcn/100230_en.html
project;98319;ITSSv6;"IPv6 ITS Station Stack for Cooperative Systems FOTs";270519;"ITSSv6 aims at developing a reference open-source IPv6 ITS Station stack available to European and national third parties (projects, industry and academia) using IPv6 for Internet-based communications in Field Operational Tests (FOTs) of Cooperative Systems. The IPv6 networki...";FP7-ICT;2011-02-01;2014-01-31;en;en;"2016-04-05 09:51:40";http://cordis.europa.eu/project/rcn/98319_en.ht
project;98318;FOTsis;"European Field Operational Test on Safe, Intelligent and Sustainable Road Operation";270447;"FOTsis (European Field Operational Test on Safe, Intelligent and Sustainable Road Operation) is a large-scale field testing of the road infrastructure management systems needed for the operation of seven close-to-market cooperative I2V, V2I & I2I technologies (the FOTsis Serv...";FP7-ICT;2011-04-01;2015-03-31;en;en;"2016-04-05 09:52:26";http://cordis.europa.eu/project/rcn/98318_en.html
project;86595;SensHy;"Photonic sensing of hydrocarbons based on innovative mid infrared lasers";223998;"The SensHy proposal focuses on novel photonic gas sensors for the detection of hydrocarbons. Hydrocarbons can be detected most sensitively in the 3.0 to 3.6 µm wavelength range. Two particular challenging applications with significant market potential are investigated within ...";FP7-ICT;2008-03-01;2011-08-31;en;en;"2016-04-05 09:45:01";http://cordis.europa.eu/project/rcn/86595_en.html
project;110727;TRANS-FUSIMO;"Clinical Translation of Patient-Specific Planning and Conduction of FUS Treatment in Moving Organs";611889;"MR-guided Focused Ultrasound Surgery (MRgFUS) combines high intensity focused ultrasound for thermal ablation of diseased tissue with MR imaging to visualise the tumour and surrounding anatomy and to provide MR thermal feedback.However, MRgFUS treatment of the liver and other...";FP7-ICT;2014-01-01;2018-12-31;en;en;"2016-04-05 09:46:12";http://cordis.europa.eu/project/rcn/110727_en.html
project;110155;NECOMA;"Nippon-European Cyberdefense-Oriented Multilayer threat Analysis";608533;"The NECOMA project addresses objective (c), Cybersecurity for improved resilience against cyber threats, of the ICT-EU Japan Coordinated call FP7-ICT-2013-EU-Japan. It aims at providing new means to understand cyberthreats and to mitigate their effect on infrastructure and en...";FP7-ICT;2013-06-01;2016-03-31;en;en;"2016-04-05 09:56:55";http://cordis.europa.eu/project/rcn/110155_en.html
project;110042;READY4SmartCities;"ICT Roadmap and Data Interoperability for Energy Systems in Smart Cities";608711;"READY4SmartCities operates in a European context where other initiatives are currently running in order to create a common approach on Smart Cities, Such initiatives, even if of fundamental importance for the EU, have some relevant gaps not allowing them to fully cover fundam...";FP7-ICT;2013-10-01;2015-09-30;en;en;"2016-04-05 09:58:27";http://cordis.europa.eu/project/rcn/110042_en.html
project;106851;eCultValue;"Valorisation of EU project results in the area of access to cultural content";601114;"Cultural heritage is one of the main assets of Europe and the deployment of research results in the areas of interactive storytelling, personalization and adaptivity, coupled with mobility-enabling systems, has the potential to increase access to resources, improve user exper...";FP7-ICT;2013-02-01;2015-01-31;en;en;"2016-04-05 10:03:59";http://cordis.europa.eu/project/rcn/106851_en.html
project;85347;INTERSECTION;"INfrastructure for heTErogeneous, Resilient, SEcure, Complex, Tightly Inter-Operating Networks";216585;"INTERSECTION project aims to enhance the European potential in the field of security by assuring the protection of heterogeneous networks and infrastructures. <br/>INTERSECTION will design and implement an integrated security framework made of different subsystems and compone...";FP7-ICT;2008-01-01;2009-12-31;en;en;"2016-04-01 15:14:30";http://cordis.europa.eu/project/rcn/85347_en.html
project;95864;PLAY;"Pushing dynamic and ubiquitous interaction between services Leveraged in the Future Internet by ApplYing complex event processing";258659;"The goal of PLAY is to develop and validate an elastic and reliable federated SOA architecture for dynamic and complex, event-driven interaction in large highly distributed and heterogeneous service systems. Such architecture will enable exchange of contextual information bet...";FP7-ICT;2010-10-01;2013-09-30;en;en;"2016-04-01 13:10:14";http://cordis.europa.eu/project/rcn/95864_en.html
project;87753;TREMOR;"An ambulatory BCI-driven tremor suppression system based on functional electrical stimulation";224051;"Tremor is the most common movement disorder and it is strongly increasing in incidence and prevalence with ageing. More than 65% of the population with upper limb tremor presents serious difficulties in performing activities of daily living (ADL). Tremor is not life-threateni...";FP7-ICT;2008-09-01;2011-08-31;en;en;"2016-04-01 13:51:57";http://cordis.europa.eu/project/rcn/87753_en.html
project;85431;SHIELDS;"Detecting known security vulnerabilities from within design and development tools";215995;"Software systems continue to be crippled by security vulnerabilities. One of the reasons for this is that information on known vulnerabilities is not easily available to software developers, or integrated into the tools they use.<br/> The main objective of SHIELDS is to incre...";FP7-ICT;2008-01-01;2010-06-30;en;en;"2016-04-01 16:18:16";http://cordis.europa.eu/project/rcn/85431_en.html
project;85415;"BRAIN STORM";"On-chip simultaneous intracellular recording and stimulation of electrical and biochemical activities from hundreds of neurons";215486;"In the BRAINSTORM project, we aim to develop an integrated system enabling on-chip intracellular recordings from a relatively large cultured neuronal network combined with chemical sensing and intracellular delivery of biologically active molecules. To achieve tight coupling ...";FP7-ICT;2008-01-01;2010-12-31;en;en;"2016-04-01 13:21:32";http://cordis.europa.eu/project/rcn/85415_en.html
project;93258;BETTER;"BNCI-driven Robotic Physical Therapies in Stroke Rehabilitation of Gait Disorders";247935;"Cerebral vascular accident (CVA, Stroke) is the most prevalent neurological condition leading to physical impairment in Western society. About 4.7 million stroke survivors are alive today. Impaired walking ability contributes to post-stroke walking disability. Walking incorre...";FP7-ICT;2010-02-01;2013-01-31;en;en;"2016-04-01 13:24:29";http://cordis.europa.eu/project/rcn/93258_en.html
project;110879;Ultrafast_RAZipol;"Ultrafast Lasers with Radial and Azimuthal Polarizations for High-efficiency Micro-machining Applications";619237;"High-precision laser micro-machining has delivered a important impact in daily life, hence its benefits and usefulness can easily be taken for granted. For example in the manufacture of smart phones, i-tablets, etc, high-precision laser micro-machining is essential to produce...";FP7-ICT;2013-11-01;2016-10-31;en;en;"2016-04-01 17:16:04";http://cordis.europa.eu/project/rcn/110879_en.html
project;97460;DigiBIC;"The DigiBIC Creative Industries Network unites leaders in research, innovation, industry and finance in order to optimise deployment of new ICT-based cultural and memory preservation services";270120;"DigiBIC is a 30 month project focused on the deployment of best practice, tools and results from FP6, FP7 and national research projects in cultural heritage, digital libraries and preservation to the wider Creative Industry (CI) sector and in particular to small and medium s...";FP7-ICT;2010-12-01;2013-05-31;en;en;"2016-04-01 14:28:37";http://cordis.europa.eu/project/rcn/97460_en.html
project;93801;MXL;"Enhanced patient safety by computational Modelling from clinically available X-rays to minimise the risk of overload and instability for optimised function and joint Longevity";248693;"Osteorthritis (OA) is a disabling disease, affecting the joints of 40% or more of the population over 60, resulting in a socioeconomic burden of €7b. per year in Germany alone. Joint surgery attempts to address the various disease stages, to either minimize the risk of early ...";FP7-ICT;2010-01-01;2012-12-31;en;en;"2016-04-01 13:52:40";http://cordis.europa.eu/project/rcn/93801_en.html
project;95598;EnRiMa;"Energy Efficiency and Risk Management in Public Buildings";260041;"The overall objective of EnRiMa is to develop a decision-support system (DSS) for operators of energy-efficient buildings and spaces of public use. By providing integrated management of conflicting goals such as cost minimisation, meeting energy, efficiency, and emission-redu...";FP7-ICT;2010-10-01;2014-03-31;en;en;"2016-04-04 10:45:50";http://cordis.europa.eu/project/rcn/95598_en.html
project;97459;Xperience;"Robots Bootstrapped through Learning from Experience";270273;"Current research in embodied cognition builds on the idea that physical interaction with and exploration of the world allows an agent to acquire intrinsically grounded, cognitive representations which are better adapted to guiding behavior than human crafted rules. Exploratio...";FP7-ICT;2011-01-01;2015-12-31;en;en;"2016-04-02 00:39:25";http://cordis.europa.eu/project/rcn/97459_en.html
project;97302;Decipher;"Digital Environment for Cultural Interfaces; Promoting Heritage, Education and Research";270001;"Digital heritage and semantic web technologies hold out the promise of nearly unlimited access to cultural knowledge. The problem is that cultural meaning does not reside in individual objects but in the patterns of knowledge and events, belief and thought that link them to e...";FP7-ICT;2011-01-01;2013-12-31;en;en;"2016-04-02 00:13:29";http://cordis.europa.eu/project/rcn/97302_en.html
project;93065;BRAIN-I-NETS;"Novel Brain-Inspired Learning Paradigms for  Large-Scale Neuronal Networks";243914;"Current designs of neurally inspired computing systems rely on learning rules that appear to be insufficient to port the superior adaptive and computational capabilities of biological neural systems into large-scale recurrent neural hardware system. This is not surprising, si...";FP7-ICT;2010-01-01;2012-12-31;en;en;"2016-04-02 00:49:03";http://cordis.europa.eu/project/rcn/93065_en.html
project;85479;EUROSOI+;"European platform for low-power applications on Silicon-on-Insulator Technology";216373;"In the framework of FP6, the European Commission supported the formation of a European Network on Silicon on Insulator Technology, Devices and Circuits, whose main goal was to create a discussion forum for the exchange of ideas and results on the topic of Silicon-On-Insulator...";FP7-ICT;2008-01-01;2011-06-30;en;en;"2016-04-02 00:21:21";http://cordis.europa.eu/project/rcn/85479_en.html
project;85727;ITALK;"Integration and Transfer of Action and Language Knowledge in Robots";214668;"The ITALK project aims to develop artificial embodied agents able to acquire complex behavioural, cognitive, and linguistic skills through individual and social learning. This will be achieved through the development of cognitive robotic agents, such as the iCub humanoid plat...";FP7-ICT;2008-03-01;2012-02-29;en;en;"2016-04-02 00:33:09";http://cordis.europa.eu/project/rcn/85727_en.html
project;85245;NANOPACK;"Nano Packaging Technology for Interconnect and Heat Dissipation";216176;"One of the major limitations to continued performance increases in the semiconductor and power electronics industries is integration density and thermal management. Continued transistor downscaling is quickly reaching its limits forcing a new focus on heterogeneous integratio...";FP7-ICT;2007-11-01;2011-09-30;en;en;"2016-04-02 00:43:32";http://cordis.europa.eu/project/rcn/85245_en.html
